"id","hash","date","time","median_time","size","stripped_size","weight","version","version_hex","version_bits","merkle_root","nonce","bits","difficulty","chainwork","coinbase_data_hex","transaction_count","witness_count","input_count","output_count","input_total","input_total_usd","output_total","output_total_usd","fee_total","fee_total_usd","fee_per_kb","fee_per_kb_usd","fee_per_kwu","fee_per_kwu_usd","cdd_total","generation","generation_usd","reward","reward_usd","guessed_miner"
"628854","0000000000000000000efe0a25f7e1bfad722f0212a776f3475b2bab0849aab1","2020-05-04","2020-05-04 06:48:48","2020-05-04 06:07:04","1487338","815146","3932776","1073733632","3fffe000","111111111111111110000000000000","2e045d472b270266a1a3229b10d3a82400a7fb4785a10a4dc7fe4529e64ee854","4172818740","387031859","15958652328578","00000000000000000000000000000000000000000f208388f5d044a2a401744c","037698092cfabe6d6d2a9495302162da43d0a84f45fd28aa2369670c9a4255ffe7554234cd5f43c46810000000f09f909f082f4632506f6f6c2f124d696e656420627920736d743274323430300000000000000000000000000000000000050034100000","1011","913","8276","4291","42294875941","3761140","43544875941","3872290","3537828","314.607","2379.37","0.211589","899.972","0.0800313","24416.128330689","1250000000","111158","1253537828","111473","F2Pool"
"628853","000000000000000000056db50b80ce66418628f971ed6e5797512d395c7f69b6","2020-05-04","2020-05-04 06:48:07","2020-05-04 05:51:07","1193404","934987","3998365","545259520","20800000","100000100000000000000000000000","34cb032f9d3b2107316954e3382a1b53a7e134dd8965c9b794027a8ab2467304","680747306","387031859","15958652328578","00000000000000000000000000000000000000000f2075053d7ef1cee51b89b8","037598092cfabe6d6d4d87965a1cb2b1261d7958e1e8fcd4507810ebe7f84c70916b3544567c37600c10000000f09f909f082f4632506f6f6c2f104d696e656420627920626d696e696e6700000000000000000000000000000000000000050033700000","1465","556","6171","3143","132956549023","11823400","134206549023","11934500","4725375","420.211","3961.1","0.352247","1182.34","0.105141","11751.473583651","1250000000","111158","1254725375","111578","F2Pool"
"628852","00000000000000000006a2e1b69e17364913dfad5157937c00fad774c89f34dc","2020-05-04","2020-05-04 06:47:51","2020-05-04 05:50:19","1268486","908297","3993377","536870912","20000000","100000000000000000000000000000","b685aeeffb2a29a2b5c47a4922d0b42b68b72b74fdd6525c3ed4eab18af24512","802347180","387031859","15958652328578","00000000000000000000000000000000000000000f206681852d9efb26359f24","037498091b4d696e656420627920416e74506f6f6c3539fd00f10120e3f519eafabe6d6d6fa60138d0817b9f8bf926f593c42dd9d882ad99cb932442e363749fba54f8b604000000000000000ac32800c70200ff","2641","1517","5974","7269","1002753074842","89171300","1004003074842","89282500","68061542","6052.48","53671.9","4.77285","17049.7","1.51617","24143.870165575","1250000000","111158","1318061542","117211","AntPool"
"628851","000000000000000000082e77903787828569215a2fcd4121e5db45f86822c1ea","2020-05-04","2020-05-04 06:24:50","2020-05-04 05:49:02","1209576","927977","3993507","536870912","20000000","100000000000000000000000000000","ae819ee6424fc3e703ed3aebc72bcebaf9d1d82f022e79480cdb31d592abbc8b","4288285922","387031859","15958652328578","00000000000000000000000000000000000000000f2057fdccdc4c27674fb490","037398090428b5af5e2f706f6f6c696e2e636f6d2ffabe6d6d8d08475153ccd97fd85e704849298b9db35db4093ff93cdb6a7dc8a286c6ca5d0100000000000000037aeafd728ecc00f673bf804284df19114d45b1e800a4db000000000000","1348","697","6475","3275","500957854534","44548400","502207854534","44659600","24957032","2219.34","20640.5","1.83548","6252.02","0.55597","11942.329526741","1250000000","111158","1274957032","113377","Poolin"
"628850","00000000000000000007871a4b774676d81c2476e47a65584cb9281272945f29","2020-05-04","2020-05-04 06:17:33","2020-05-04 05:45:21","1313158","893402","3993364","805298176","2fffe000","101111111111111110000000000000","9d12f8a85433ccb9448391f7cc691d27ac7f5b2888ae307d39462b1c699a3ef0","2862515563","387031859","15958652328578","00000000000000000000000000000000000000000f20497a148af953a869c9fc","0372980941d7abece00c223e41d7abecdf4eadcc2f315448617368263538434f494e2ffabe6d6d134dfcfc2195b1bb6eb3b2954aee3e9f1937e465919f455a9681cc427f2971708000000000000000b500cf96db92570000000000","2368","1120","6480","5817","373301026735","33196400","374551026735","33307500","38374609","3412.52","29231.8","2.59948","9613.08","0.854858","10502.962020385","1250000000","111158","1288374609","114571","1THash&58COIN"
"628849","0000000000000000000643c6282b268ee0f04dd1be956f4f39f20b97e9c2eb5b","2020-05-04","2020-05-04 06:07:04","2020-05-04 05:29:38","1203214","929928","3992998","805298176","2fffe000","101111111111111110000000000000","51613fc5f0a5584500ea40afb1d29a7854495e382390589cb49823022ba3363b","554339706","387031859","15958652328578","00000000000000000000000000000000000000000f203af65c39a67fe983df68","037198091a4d696e656420627920416e74506f6f6c2085010f0320d581a9b2fd930c008afb6a00","2018","1193","5856","6022","660466481361","58733000","661716481361","58844100","62022343","5515.43","51561.7","4.5852","15537.6","1.3817","7287.0569234832","1250000000","111158","1312022343","116674","AntPool"
"628848","0000000000000000000c43a894917fb9d8203912bf3899549b63eb762035bd6d","2020-05-04","2020-05-04 05:51:07","2020-05-04 05:13:46","1027925","988395","3993110","536870912","20000000","100000000000000000000000000000","18e6565e301387493def6268280c0fe94a7de769aae6fc803c84f5e95b92bdab","3188616768","387031859","15958652328578","00000000000000000000000000000000000000000f202c72a3e853ac2a9df4d4","03709809fabe6d6d695605beccc6dce5336f4bfeaffcd5583cc8660bde8b9e0338333f17be9d1e4601000000000000002865080001ed4810032875dcd00543022f736c7573682f","249","126","6686","510","47749172703","4246170","48999172703","4357320","4401569","391.416","4283.55","0.380921","1102.67","0.0980569","11333.496943714","1250000000","111158","1254401569","111550","SlushPool"
"628847","000000000000000000066ca36a99a1e7dfa656e0c2e5fda1b30713a8ea5916ba","2020-05-04","2020-05-04 05:50:19","2020-05-04 04:38:23","1031308","989054","3998470","1073676288","3fff0000","111111111111110000000000000000","bf1851497763f2e48204002f5cac05e912e104b8bc22dfade886dd61dcd8c418","3524917442","387031859","15958652328578","00000000000000000000000000000000000000000f201deeeb9700d86bb80a40","036f98092cfabe6d6d205c61ca6541efa7e4558be610f7e7a5e50de464859dcf47e15356f58d45639110000000f09f909f082f4632506f6f6c2f124d696e656420627920626870786867716c310000000000000000000000000000000000050099050000","317","143","6712","664","49546179401","4405970","50796179401","4517130","6268595","557.444","6081.01","0.540763","1568.43","0.139475","13748.749490763","1250000000","111158","1256268595","111716","F2Pool"
"628846","00000000000000000009391c46523db07bff6ccb61293eceac87a3cb46146433","2020-05-04","2020-05-04 05:49:02","2020-05-04 04:35:35","1255504","912536","3993112","549453824","20c00000","100000110000000000000000000000","2e60db7ba4f99c87ab6df32bb2a4f0fd952a811b8e38525c5166fb5a699a5d8f","1283830517","387031859","15958652328578","00000000000000000000000000000000000000000f200f6b3345ae04acd21fac","036e980941d7abeb3410ae5441d7abeb33c5f7b52f48756f62692ffabe6d6d05f83fe2d5b7e5adfa35bb528a9cd417a2f9860b39d41fe45d663ec1591592ba8000000000000000d500f6039115000000000000","2160","617","6705","4594","212831199359","18926300","214081199359","19037500","20676531","1838.69","16473.7","1.46495","5179.89","0.460629","19641.678841247","1250000000","111158","1270676531","112997","Huobi"
"628845","00000000000000000010a9a68d7bb9c5a905fd933b2d63a2bea1728f71351a41","2020-05-04","2020-05-04 05:45:21","2020-05-04 04:31:46","1366254","877503","3998763","536870912","20000000","100000000000000000000000000000","22d8fd18fb13d388dad5441a4a131190b6e4b68579f2b90618ba8e4cac3aec4f","2492723349","387031859","15958652328578","00000000000000000000000000000000000000000f2000e77af45b30edec3518","036d98092cfabe6d6d1e46c7bfac78d5952911ea4acc0cdb33421a8c5f419965395ab6e73532004cb810000000f09f909f082f4632506f6f6c2f154d696e6564206279207a74773137333039383134360000000000000000000000000000050079d8aaaa","2489","1404","6057","7638","797515062781","70920200","798765062781","71031400","54097571","4810.71","39608.9","3.52228","13534.4","1.20357","43794.251821804","1250000000","111158","1304097571","115969","F2Pool"
"628844","00000000000000000005a6cc4251bf7e79210e671e8a56030d92a0a65197744b","2020-05-04","2020-05-04 05:29:38","2020-05-04 04:31:31","1371412","873983","3993361","541065216","20400000","100000010000000000000000000000","e3ddad8f39acd703f95e50ee94566c3117419186ff98e00468c3c153417de630","3722249384","387031859","15958652328578","00000000000000000000000000000000000000000f1ff263c2a3085d2f064a84","036c98090443a8af5e455530322f4254432e434f4d2ffabe6d6d1ac3f91b66cf09d6e3483a8459e00e44802c035b5d81361495c97da6d644bffa020000004204cb9a31230e5c335c010000000000","2531","1591","5973","7442","912231964198","81121600","913481964198","81232800","53424680","4750.87","38968","3.46529","13383.7","1.19017","69487.873545861","1250000000","111158","1303424680","115909","BTC.com"
"628843","000000000000000000064a81add91d6e266215a558ccdf95b8d3f5c1679bfb59","2020-05-04","2020-05-04 05:13:46","2020-05-04 04:30:14","1352851","880116","3993199","549453824","20c00000","100000110000000000000000000000","b0b4f2621b48de0e8a1f6e306b18717405cfaca1e262450b52d796977e8ada83","136477972","387031859","15958652328578","00000000000000000000000000000000000000000f1fe3e00a51b58970205ff0","036b9809048ba4af5e626a30332f4254432e434f4d2ffabe6d6d5f44124e76e8199334c1a22da2140b430080dd867701e065e50109ae0f064868080000007296cd10cf018f6e7d91020000000000","2978","1819","5794","8960","1938969237797","172426000","1940219237797","172537000","80257604","7137.03","59343.4","5.2772","20106.6","1.78801","331439.69429294","1250000000","111158","1330257604","118295","BTC.com"
"628842","000000000000000000115bb180a19a565e55e2f55ba413acf3a98d4536abbcb1","2020-05-04","2020-05-04 04:38:23","2020-05-04 04:27:14","256508","193764","837800","549453824","20c00000","100000110000000000000000000000","c2926072527edd332dbdd9c735246020f076d0ec1bc36ad40ae71cc2a99aed7c","2526607550","387031859","15958652328578","00000000000000000000000000000000000000000f1fd55c520062b5b13a755c","036a98091a4d696e656420627920416e74506f6f6c208501230620b5ca08998402010032540300","558","335","1095","1778","116302754431","10342400","117552754431","10453600","8775370","780.363","34255.9","3.04626","10489.8","0.932824","16866.674347494","1250000000","111158","1258775370","111938","AntPool"
"628841","00000000000000000006de3ed372341216f3138371f7a730a17bc8e152b76ce3","2020-05-04","2020-05-04 04:35:35","2020-05-04 04:10:57","408084","273499","1228581","549453824","20c00000","100000110000000000000000000000","3b2b4d1573d666d0f979309789f0a99f36d55f5ca7fea88280dffd77f7fbb864","797546103","387031859","15958652328578","00000000000000000000000000000000000000000f1fc6d899af0fe1f2548ac8","036998091b4d696e656420627920416e74506f6f6c313139ae006f20b4c952bffabe6d6d2311d1cfa496d20fbb8ce0e7337ad6f2577b564e415161bb2d4eac68bcd271c90400000000000000637300c026603600","629","367","2058","1522","166082485659","14769100","167332485659","14880300","14650932","1302.86","35935.4","3.19561","11938.9","1.06168","1449.0039370343","1250000000","111158","1264650932","112461","AntPool"
